,Customer Id
0,00034aaa-a838-11e9-a2fc-000d3a38a36f
1,00136ce2-a562-11e9-a2fc-000d3a38a36f
2,0018c6aa-ab6c-11e9-a2fc-000d3a38a36f
3,0022f41e-5597-11eb-9e65-000d3a38a36f
4,00263f1a-210a-11ea-b50a-000d3a38a36f
5,0033f078-7359-11ea-92d0-000d3a38a36f
6,003705ee-a800-11e9-a2fc-000d3a38a36f
7,00414e84-adc6-11e9-a2fc-000d3a38a36f
8,0053a6ea-ad0a-11e9-a2fc-000d3a38a36f
9,005c7914-9e78-11e9-9897-000d3a38a36f
10,006981e0-66eb-11ea-82da-000d3a38a36f
11,006bb20e-a9a8-11e9-a2fc-000d3a38a36f
12,007e118c-5bf1-11ea-97fc-000d3a38a36f
13,0082e79e-5b50-11ea-ba9b-000d3a38a36f
14,00842ccc-15ea-11ea-aa74-000d3a38a36f
15,00844650-a937-11e9-a2fc-000d3a38a36f
16,00a3f278-ddbe-11e9-9cd3-000d3a38a36f
17,00a5009a-2558-11eb-a59b-000d3a38a36f
18,00a9f3a6-5318-11ea-acd3-000d3a38a36f
19,00b38808-541c-11ea-b1db-000d3a38a36f
20,00c2168c-a875-11e9-a2fc-000d3a38a36f
21,00d2268e-5b36-11ea-8ca6-000d3a38a36f
22,00e58b24-5b4b-11ea-ac70-000d3a38a36f
23,00eb056a-38df-11ea-85d6-000d3a38a36f
24,00ede098-9e6e-11e9-9897-000d3a38a36f
25,00f1f9ce-bbb1-11ea-a0c9-000d3a38a36f
26,00fa3c44-748c-11eb-8577-000d3a38a36f
27,00fb8870-d676-11e9-93bc-000d3a38a36f
28,01024718-52fa-11ea-9ade-000d3a38a36f
29,01025f80-1193-11ea-846f-000d3a38a36f
30,010a7a9c-94d0-11ea-85df-000d3a38a36f
31,01111a3e-b144-11e9-9757-000d3a38a36f
32,0117c094-63e8-11ea-a6dc-000d3a38a36f
33,013a12e0-606c-11ea-8dd8-000d3a38a36f
34,014dee3a-aae8-11e9-a2fc-000d3a38a36f
35,01541ece-ee0c-11e9-9346-000d3a38a36f
36,01551f04-afcd-11e9-9757-000d3a38a36f
37,01588ec4-4680-11ea-b6c0-000d3a38a36f
38,0162aa7a-3f10-11ea-b794-000d3a38a36f
39,016cb6c8-a3e8-11e9-a2fc-000d3a38a36f
40,0174d3ce-9f0d-11e9-9897-000d3a38a36f
41,01755b62-a298-11e9-a2fc-000d3a38a36f
42,0175d8d8-1cf7-11ea-a490-000d3a38a36f
43,0179158a-aac8-11e9-a2fc-000d3a38a36f
44,01794f62-b08d-11e9-9757-000d3a38a36f
45,017d86e2-5599-11eb-9e65-000d3a38a36f
46,017eb67c-12c2-11ea-a001-000d3a38a36f
47,018b9230-aae3-11e9-a2fc-000d3a38a36f
48,018bc0ba-6ce5-11ea-b576-000d3a38a36f
49,019280fa-a87b-11e9-a2fc-000d3a38a36f
50,01976720-ae7d-11e9-a2fc-000d3a38a36f
51,019cde54-1e25-11ea-8bf2-000d3a38a36f
52,01a14070-5bdd-11ea-9312-000d3a38a36f
53,01abd05c-b1f7-11e9-89fa-000d3a38a36f
54,01c40d86-fe26-11e9-a5e8-000d3a38a36f
55,01d402a6-bbc0-11ea-9a91-000d3a38a36f
56,01d4c0ba-b3bf-11e9-a043-000d3a38a36f
57,01d5156e-51f9-11ea-a243-000d3a38a36f
58,01ee4378-5bb7-11ea-84ff-000d3a38a36f
59,01f3e57a-b3ba-11ea-8745-000d3a38a36f
60,01f87448-ac75-11e9-a2fc-000d3a38a36f
61,01fa53ea-fbd9-11e9-b138-000d3a38a36f
62,01fe2034-98ea-11ea-b97a-000d3a38a36f
63,02055c84-acdf-11e9-a2fc-000d3a38a36f
64,020d943e-be28-11ea-aa61-000d3a38a36f
65,021d4cae-da25-11e9-93bc-000d3a38a36f
66,0238a4c8-ab4e-11e9-a2fc-000d3a38a36f
67,0238d3f4-a710-11e9-a2fc-000d3a38a36f
68,0242b9e6-9d88-11e9-9897-000d3a38a36f
69,02539196-2bde-11ea-91ab-000d3a38a36f
70,0259aaae-5b0e-11ea-86e3-000d3a38a36f
71,026f662a-c524-11ea-9dde-000d3a38a36f
72,0271fde2-a7af-11e9-a2fc-000d3a38a36f
73,028ef70e-9db3-11e9-9897-000d3a38a36f
74,02968374-ee0e-11e9-9346-000d3a38a36f
75,02aaed92-4b2d-11ea-a626-000d3a38a36f
76,02ae2d70-53e0-11ea-94d4-000d3a38a36f
77,02af4fd8-7362-11ea-92d0-000d3a38a36f
78,02afb6c6-aa95-11e9-a2fc-000d3a38a36f
79,02b20078-ab91-11e9-a2fc-000d3a38a36f
80,02bc6872-bebb-11ea-958c-000d3a38a36f
81,02bc835c-d96f-11e9-93bc-000d3a38a36f
82,02c1681e-d6e9-11e9-93bc-000d3a38a36f
83,02c605a4-993f-11ea-b97a-000d3a38a36f
84,02c9dcc6-5437-11ea-b1db-000d3a38a36f
85,02d797b2-5b53-11ea-9849-000d3a38a36f
86,02d8ab7a-2c50-11ea-b752-000d3a38a36f
87,02ddf53a-d683-11e9-93bc-000d3a38a36f
88,02df20e8-da31-11e9-93bc-000d3a38a36f
89,02e16bfa-631b-11ea-a6dc-000d3a38a36f
90,02f2627a-ac05-11e9-a2fc-000d3a38a36f
91,02f66fc4-52f8-11ea-9ade-000d3a38a36f
92,0300717c-279c-11ea-aaaa-000d3a38a36f
93,0319b040-5b0b-11ea-8c5d-000d3a38a36f
94,0323b1d6-e2ce-11e9-ad00-000d3a38a36f
95,0324b6b0-a923-11e9-a2fc-000d3a38a36f
96,03265212-6292-11ea-9861-000d3a38a36f
97,033b544e-1631-11ea-aa74-000d3a38a36f
98,03464e90-8a4d-11ea-8ec0-000d3a38a36f
99,034a8960-c855-11ea-8ddc-000d3a38a36f
100,0350ce40-a58a-11e9-a2fc-000d3a38a36f
101,0358f300-6eb0-11ea-96d9-000d3a38a36f
102,03646a4a-a7d8-11e9-a2fc-000d3a38a36f
103,03649f78-6ace-11eb-b5d7-000d3a38a36f
104,036674ca-fd5a-11e9-a5e8-000d3a38a36f
